npsn,nama_sekolah,akreditasi,alamat,kelurahan,kecamatan
69822380,BKB PAUD MAWAR 012,Tidak Terakreditasi,Jl. Masjid Cidodol No.30,Grogol Selatan,Kebayoran Lama
69776525,BKB PAUD MAWAR 04,Tidak Terakreditasi,Jl. Pulo Mawar,Kebayoran Lama Selatan,Kebayoran Lama
,BKB PAUD MAWAR 04,Tidak Terakreditasi,Jl. Cipulir 1,Cipulir,Kebayoran Lama
69776526,BKB PAUD MELATI,Tidak Terakreditasi,Jl.Juragan,Grogol Utara,Kebayoran Lama
69831200,BKB PAUD MELATI 07 CIPULIR,Tidak Terakreditasi,Jl. Kebon Mangga I,Cipulir,Kebayoran Lama
,BKB PAUD MUTIARA,Tidak Terakreditasi,Jl. Pulo Melati IV,Grogol Utara,Kebayoran Lama
69831199,BKB PAUD NUSA INDAH,Tidak Terakreditasi,Jl. Kebon Mangga IV,Cipulir,Kebayoran Lama
69776518,BKB PAUD NUSA INDAH 011,Tidak Terakreditasi,Jl. Tanah Kusir II,Kebayoran Lama Selatan,Kebayoran Lama
69777746,BKB PAUD PERMATA HATI,Tidak Terakreditasi,Jl. Permata Sasfir Blok V/9,Grogol Utara,Kebayoran Lama
69831198,BKB Paud Raflesia,Tidak Terakreditasi,Jl. Ciledug Raya No. 120,Cipulir,Kebayoran Lama
69776423,BKB PAUD SAWI,Tidak Terakreditasi,Jl. Tanah Ara,Pondok Pinang,Kebayoran Lama
69822389,BKB PAUD SERUNI CERIA,Tidak Terakreditasi,Jl. Ismail No. 10,Kebayoran Lama Selatan,Kebayoran Lama
69831196,BKB PAUD TELADAN,Tidak Terakreditasi,Jl. Peninggaran Timur II,Kebayoran Lama Utara,Kebayoran Lama
69776430,BKB PAUD TUNAS MAWAR,Tidak Terakreditasi,Jl. Masjid An-Nur II Grogol,Kebayoran Lama Selatan,Kebayoran Lama
69822344,BKB PAUD WORTEL,Tidak Terakreditasi,Jl. kam;pung Baru,Pondok Pinang,Kebayoran Lama
69899693,Jakarta Montessori School,Tidak Terakreditasi,Jalan Durian No. 10,Jagakarsa,Jagakarsa
90101106,KB Kinderland,A,"Jl. kayu Putih Raya Blok A-IV, Kav 1-4 Pulo Mas",Pulo Gadung,Pulo Gadung
69959766,KB PERMAI,Tidak Terakreditasi,Jl. Pluit Karang Barat Blok O VI/1,Pluit,Penjaringan
90101106,Kinderland KB,Tidak Terakreditasi,,,
69856891,NORTH JAKARTA INTERCULTURAL SCHOOL,A,JL. BOULEVARD BUKIT GADING RAYA,Bungur,S e n e n
,PAUD Aktualisasi Daya Insani,,Jln. Timbul No. 678,Ciganjur,Jagakarsa
69949108,PAUD AL FAJRI,Tidak Terakreditasi,Jl. AUP Barat,Jati Padang,Pasar Minggu
,PAUD Al-Muhajirin Anshor,,Jln. H. Saibun No.18,Susukan,Ciracas
,PAUD Amanah 2,,,Manggarai Selatan,T e b e t
,PAUD Amari,,,Meruya Selatan,Kembangan
,PAUD Ananda,,,Manggarai Selatan,T e b e t
,PAUD Ananda 12,,,Bukit Duri,T e b e t
,PAUD Ar-Rohman,,,Manggarai,T e b e t
,PAUD Asyairiyah,,,Kebon Jeruk,Kebon Jeruk
,PAUD Asya'iriyah,,,Kebon Jeruk,Kebon Jeruk
,PAUD Bee Smart,,,Bukit Duri,T e b e t
,PAUD BINA MANDIRI JAKARTA,,Jl. Bukit Duri Tanjakan No. 112,Bukit Duri,T e b e t
69783471,PAUD Bina Sejahtera,A,Radio Dalam Antena VI,Gandaria Utara,Kebayoran Baru
,PAUD Cahaya Bunda,,,Bukit Duri,T e b e t
,PAUD Cempaka,,,Tebet Barat,T e b e t
69821014,Paud Ceria Bunga Pala,Tidak Terakreditasi,Jl. Kebon Pala I Tanah Rendah No. 2,Kampung Melayu,Jatinegara
,PAUD Citra Binar Rahma,,Jl. Kebon Raya IV/66B,Duri Kepa,Kebon Jeruk
69920436,PAUD Ecole De Smarties,Tidak Terakreditasi,Jl. Gereja Ayam,Pasar Baru,Sawah Besar
31205000,PAUD Flamboyan,,Kp. Pulo Rusunawa,Pisangan Baru,Matraman
69776517,PAUD FLAMBOYAN,Tidak Terakreditasi,Jl. Sekoal,Cipulir,Kebayoran Lama
,PAUD Flamboyan 03,,,Manggarai Selatan,T e b e t
69832230,PAUD Gemilang Rawa Buaya,Tidak Terakreditasi,Jl. Klingkit No. 01,Rawa Buaya,Cengkareng
,PAUD Graphe,,Jl. Danau Agung II Blok D IAI No. 5-7,Sunter Agung,Tanjung Priok
,PAUD Harapan Bangsa,,Jl. Duku No.54,Petukangan Utara,Pesanggrahan
,PAUD Hasanah,,Jl. Karet karya II Gg. CC No. 26,Karet,Setia Budi
P2966289,PAUD HIMMATA,,Jl. Plumpang B No. 30,Rawa Badak Selatan,K o j a
69954455,PAUD Imanusakti,Tidak Terakreditasi,Jalan Waru V No. 18,Kapuk,Cengkareng
69903208,PAUD JAC Kelapa Gading,,Jl. Pegangsaan dua No. 75A,Kelapa Gading Barat,Kelapa Gading
69903483,PAUD JAC Sherwood,,"Apt. Sherwood, Jl. Kelapa nias blok GN",Pegangsaan Dua,Kelapa Gading
,PAUD Kemuning,,,Bukit Duri,T e b e t
,PAUD Kreasi Cilik,,,Bukit Duri,T e b e t
P2967209,PAUD KUNTUM MEKAR PKBM 28,Tidak Terakreditasi,Jl. Jengki Raya No. 11,Kebon Pala,Makasar
,PAUD Kuntum Teratai,,Jl. Kamp. Melayu Kecil III No. 29,Bukit Duri,T e b e t
,PAUD Mawar,,,Bukit Duri,T e b e t
87052335,PAUD Mawar 01,Tidak Terakreditasi,Jl. Sawah Lunto No. 22 C,Pasar Manggis,Setia Budi
,PAUD Mawar 04,Tidak Terakreditasi,Dr Saharjo Manggis IV,Manggarai Selatan,T e b e t
,PAUD Melati,Tidak Terakreditasi,Jl. Budi Mulia,Pademangan Barat,Pademangan
,PAUD Melati,,,Manggarai Selatan,T e b e t
,PAUD Melati 09,,,Manggarai,T e b e t
,PAUD Moh. Hashfi,,"JL. RE. Martadinata, RS. Paru-paru Komp. Masjid Al",Sunter Agung,Tanjung Priok
,PAUD MORNING STAR ACADEMY,,JL. DENPASAR RAYA BLOK F-3,Karet Kuningan,Setia Budi
,PAUD Mutiara Bagi Bangsa,,,Pejagalan,Penjaringan
69857157,PAUD Mutiara Hati,,Jl. Moa Blok B18 No. 2B,Pejagalan,Penjaringan
,PAUD Pelita Hati,,,Pegangsaan,Menteng
,PAUD Permata,,,Manggarai Selatan,T e b e t
,PAUD Permata Bunda,,Jl.Manggarai Utara II No. 17,Manggarai,T e b e t
P6983114,PAUD Pola Bunga,,Jl. Bango II,Pondok Labu,Cilandak
69820798,PAUD Putra Kusuma,,,Penggilingan,Cakung
P2967042,PAUD RAMBUTAN,,Jln. Rambutan,Baru,Pasar Rebo
,PAUD Rusa,,,Manggarai Selatan,T e b e t
,PAUD SALSABILA,Tidak Terakreditasi,,Cilangkap,Cipayung
,PAUD SEMAR SAKTI,,Jl. Raya Pulo Gebang No. 38,Pulo Gebang,Cakung
,PAUD Sila Kenanga,,,Duri Kepa,Kebon Jeruk
,PAUD Sinar Padian,,,Srengseng,Kembangan
69895634,PAUD Singapore School Bona Vista,,"Jl. Bona Vista Raya, Lebak Bulus, Jakarta Selatan",Lebak Bulus,Cilandak
,PAUD Sukses,,Jl. Kyai Maja No. 6 Mayestik,Kramat Pela,Kebayoran Baru
,PAUD Syarif Hidayatullah,Tidak Terakreditasi,Jl. Lapangan Ros III,Bukit Duri,T e b e t
,PAUD Taman Firdaus,,,Bukit Duri,T e b e t
,PAUD Teach Indonesia School,Tidak Terakreditasi,Jl. Kelapa Lilin Timur NI 16/1,Pegangsaan Dua,Kelapa Gading
,PAUD Teratai 04,,,Kebon Baru,T e b e t
,PAUD Teratai Pendawa,,,Menteng Dalam,T e b e t
,PAUD Trista Mandiri,,Jl. Kayu Tinggi,Cakung Timur,Cakung
18904027,PAUD Tunas,,Jl. Ungaran Ujung,Pasar Manggis,Setia Budi
P2967206,PAUD TUNAS CERIA PKBMN 13 CIPINANG,Tidak Terakreditasi,Jl. Cipinang Baru III/15,Cipinang,Pulo Gadung
,PAUD Tunas Harapan,,,Manggarai Selatan,T e b e t
,PAUD Yasmi,,,Palmerah,Palmerah
69821052,PKBM As Syifa PAUD,,Jl. Raya Bogor KM. 20 No. 38,Kramat Jati,Kramat Jati
,PKBM Citra Nusa Bangsa,,Jl. H. Ali I No. 53,Kampung Tengah,Kramat Jati
P2967207,PKBM Miftahul Jannah,,Jl. Pisangan Lama III / 2B,Pisangan Timur,Pulo Gadung
69820952,PKBM Paksi Safa Kawijayan,Tidak Terakreditasi,Cipinang Pulo Maja No. 28,Cipinang Besar Utara,Jatinegara
P2967187,PKBM PAUD Ajisaka,,Jl. Raya Bekasi KM 17 Gg. RH Ismail Kp. Lio No. 14,Jatinegara,Cakung
69820953,PKBM PAUD Rizkyta,,Jl. Raya Mabes Hankam No. 9,Bambu Apus,Cipayung
P2967173,PKBM Pemuda Creative Prima PAUD,,Jl. DI Panjaitan Gang Remaja II No. 15,Cipinang Besar Utara,Jatinegara
20106225,SD Advent XI,A,Jl. Raya Tanjung Barat Gg. Remidi No. 3,Tanjung Barat,Jagakarsa
69889088,SD AUSTRALIAN INDEPENDENT SCHOOL,Tidak Terakreditasi,Jl. Kemang Timur No. 81,Bangka,Mampang Prapatan
69728746,SD Bangun Mandiri,A,Jl. H. Mursid No. 16,Kebagusan,Pasar Minggu
69888567,SD Beacon Academy,,Jl. Pegangsaan Dua No.66,Pegangsaan Dua,Kelapa Gading
,SD Bina Bangsa,Tidak Terakreditasi,Jl. Tanjung Pura V,Pegadungan,Kalideres
20109443,SD Bina Tunas Bangsa,A,Jl. Pluit Timur Blok MM,Penjaringan,Penjaringan
NP724512,SD Bina Tunas Kasih,Tidak Terakreditasi,Jl. Pelangi Indah 4-5 Blok C-8,Pegangsaan Dua,Kelapa Gading
,SD Binus School Simprug,A,Jl. Sultan Iskandar Muda,Kebayoran Lama Selatan,Kebayoran Lama
69888988,SD Bunda Mulia School,Tidak Terakreditasi,JL. LODAN NO.02,Ancol,Pademangan
NP75390,SD DAARUL QUR'AN,Tidak Terakreditasi,Jl. Kalibata Raya No. 1 Apartemen Kalibata City,Rawajati,Pancoran
20121008,SD Embun Pagi,A,Jl. Raya Kapin No. 8,Pondok Kelapa,Duren Sawit
69955258,SD EMIISc,Tidak Terakreditasi,Jl. Raya Condet No.27 Kav. 7,Batu Ampar,Kramat Jati
NP184669,SD Emirattes Islamic School,Tidak Terakreditasi,Jl. H. Muhi Anggrek 1 No. 6,Bintaro,Pesanggrahan
20112485,SD Gemala Ananda,A,Jl. Lebak Bulus III No. 93G,Lebak Bulus,Cilandak
69954279,SD Gemar Belajar Berkarya Bersama,Tidak Terakreditasi,Jl. Gereja Ayam No. 8,Pasar Baru,Sawah Besar
20109099,SD Global Sevilla Pulo Mas,A,Jl. Pulo Mas Jaya No. 1 Pacuan Kuda,Kayu Putih,Pulo Gadung
NP822864,SD Green Montessori,Tidak Terakreditasi,Jl. Duren Tiga Raya No.133,Pancoran,Pancoran
69893047,SD Heritage School Jakarta,Tidak Terakreditasi,Jl. Letjen Soepono,Grogol Utara,Kebayoran Lama
20103048,SD Islam Al Azhar 1 Kebayoran Baru,A,Jl. Sisingamangaraja,Selong,Kebayoran Baru
69900891,SD Islam Al Musyarrofah,A,Jl. H. Muchtar Raya No. 95,Petukangan Utara,Pesanggrahan
20109914,SD Islam An Najah,B,Jl. SMA 64,Cipayung,Cipayung
NP323555,SD Islam An Nash,Tidak Terakreditasi,Jl. Poltangan Raya No.9-10,Pejaten Timur,Pasar Minggu
69882385,SD Islam Azhari Lebak Bulus,A,Jl. Pertanian Raya No. 43,Lebak Bulus,Cilandak
69949704,SD Islam Mafaza,A,Jl. Samudra No. 221,Rawa Badak Selatan,K o j a
20106322,SD ISLAM TAMAN QURANIYAH,B,Jl. Melati No.100,Tanjung Barat,Jagakarsa
NP649295,SD ISLAM TERPADU ALKIYAN,Tidak Terakreditasi,Jl. Lenteng Agung Raya No.33,Kebagusan,Pasar Minggu
20177801,SD Islam Tunas Mandiri,Tidak Terakreditasi,Jl. Durian Raya No.9,Tanjung Barat,Jagakarsa
5916773,SD IT AMANI AR RASYID,Tidak Terakreditasi,Jl. Raya Kamal No.33,Cengkareng Barat,Cengkareng
20110202,SD IT Daarun Na'iim,A,Jl. Semanan Raya No. 27,Semanan,Kalideres
20109404,SD IT Insan Mulia,Tidak Terakreditasi,Jl. Metro Jaya No. 47,Kayu Putih,Pulo Gadung
20109440,SD IT QATRUNNADA,Tidak Terakreditasi,"JL. CEMPAKA BARU TIMUR, GG. SIAGA II NO.35",Cempaka Baru,Kemayoran
20109251,SD JAC,A,Jl. Pegangsaan Dua No.75,Pegangsaan Dua,Kelapa Gading
69883513,SD Jakarta Intercultural School,Tidak Terakreditasi,,Selong,Kebayoran Baru
96853553,SD Jakarta Intercultural School,A,Jl. terogong Raya No. 33,Cilandak Barat,Cilandak
20109435,SD Jakarta Montessori,Tidak Terakreditasi,Jl. Durian No. 10,Jagakarsa,Jagakarsa
69752179,SD Juara,Tidak Terakreditasi,Jl. B Rawa Badung,Jatinegara,Cakung
69767781,SD JUARA,Tidak Terakreditasi,Jl. Kesatuan no.47,Pasar Minggu,Pasar Minggu
69766212,SD KASIH ANUGERAH,Tidak Terakreditasi,JL. MUSHOLLAH BLOK B3 NO. 5,Tegal Alur,Kalideres
NP64648,SD Kasih Bagi Bangsa,Tidak Terakreditasi,Jl. bangun Nusa Raya Blok H No. 1B,Cengkareng Timur,Cengkareng
69925709,SD Kasih Immanuel,Tidak Terakreditasi,Jl. Taman Surya V Blok NN5 No.45-48,Pegadungan,Kalideres
20105702,SD Kasih Setia,,Jl. Fajar Baru Selatan No. 351,Cengkareng Timur,Cengkareng
20106329,SD KELUARGA WIDURI,A,Jl. Gunung Balong I NO.2,Lebak Bulus,Cilandak
20109629,SD Khusus Al-Rahmah,B,Jl. Kampung Sawah Blok B,Semper Timur,Cilincing
20109315,SD Khusus Darut Tauhid,B,Jl. Raya Cacing Kp. Bedeng Malaka II,Rorotan,Cilincing
69755701,SD Khusus Insan Harapan,A,Jl. Kayu Besar,Cengkareng Timur,Cengkareng
20109372,SD Khusus IT Yuda Patria,B,Jl. Marunda Baru III No. 1 Rt. 8/6,Marunda,Cilincing
69932858,SD Kreativitas Anak Indonesia,Tidak Terakreditasi,Jalan Kedongdong No.18,Jagakarsa,Jagakarsa
20177882,SD Kristen Calvin Jakarta,A,Kompleks Kemayoran Blok B 14 No. 1,Gunung Sahari Selatan,Kemayoran
20105712,SD Kristen Kasih Karunia,A,Taman Palem Lestari Blok F6/21-23,Cengkareng Barat,Cengkareng
NP24526,SD Kristen Kasih Kemuliaan,Tidak Terakreditasi,Komplek Taman Surya V Blok RR No. 1,Pegadungan,Kalideres
20109938,SD Kristen Penabur,A,Boulevard Bukit Gading Raya Blok A5-A8,Kelapa Gading Barat,Kelapa Gading
20109384,SD Marie Joseph,A,Puspa Gading I Blok H2 No. 4-6-8-10 Jakarta utara,Pegangsaan Dua,Kelapa Gading
20112515,SD Muhammadiyah 09 Plus,A,JL SMAN-71 NO. 18,Duren Sawit,Duren Sawit
20109497,SD NATIONALHIGH JAKARTA SCHOOL,A,Jl. Raya Pos Pengumben No.41,Srengseng,Kembangan
69856890,SD North Jakarta Intercultural School,Tidak Terakreditasi,Jl. Boulevard Bukit Gading Raya,Kelapa Gading Barat,Kelapa Gading
69874085,SD Pelita Harapan Kemang,A,Jl. Pangeran Antasari No. 36,Bangka,Mampang Prapatan
20105033,SD Plus Hang Tuah 6,A,Jl. Tabah Raya Komplek TNI AL Sunter Kodamar,Kelapa Gading Barat,Kelapa Gading
69892529,SD Pondok Indah Global School,Tidak Terakreditasi,"Jl. Duta Indah, Pondok Indah",Cilandak Barat,Cilandak
NP850355,SD Rabbaniyyun Islamic Scholl,Tidak Terakreditasi,Jl. Assafiiyah No. 93,Cilangkap,Cipayung
69883248,SD Raffles Christian School,Tidak Terakreditasi,Jalan Gedung Hijau Raya I No.1,Pondok Pinang,Kebayoran Lama
69923361,SD Raffles Christian School,Tidak Terakreditasi,Jl. Meruya Ilir No.89,Meruya Utara,Kembangan
69938151,SD RAFFLES CHRISTIAN SCHOOL KELAPA GADING,Tidak Terakreditasi,Jl. Gading Pelangi Indah No. 1,Pegangsaan Dua,Kelapa Gading
69878185,SD Royal Tunas Mulia,A,Jl. Kuningan Utama Lot. 15,Menteng Atas,Setia Budi
69952902,SD SALSABILA AL KAUTSAR,Tidak Terakreditasi,,Cilincing,Cilincing
20109296,SD Sekolah Alam,Tidak Terakreditasi,Jl. Pembangunan No. 51,Cipedak,Jagakarsa
20109438,SD Singapore School,A,Jl. Meruya Ilir No.89,Meruya Utara,Kembangan
20121003,SD Singapore School Kelapa Gading,A,Jl. Pegangsaan Dua No. 83,Pegangsaan Dua,Kelapa Gading
69959986,SD Terpadu Salwa Islamic School,Tidak Terakreditasi,JL. Adhi Karya No. 59A,Kedoya Selatan,Kebon Jeruk
NP153191,SD Tetum Bunaya,Tidak Terakreditasi,Jl. Timbul IV B No. 1,Cipedak,Jagakarsa
69753896,SD Tzu Chi,Tidak Terakreditasi,"Tzu Chi Center, Jl. Pantai Indah Kapuk Blvd.",Penjaringan,Penjaringan
20109408,SD Westin,A,Teluk Gong Jl. G No. 408,Pejagalan,Penjaringan
20103086,SDI Al Achfas Dwi Matra,A,Jl. Jaha No 30 B,Cilandak Timur,Pasar Minggu
20103098,SDI Al Azhar Syuhada,A,Jl. Jagakarsa Raya No. 38,Jagakarsa,Jagakarsa
20105806,SDI Al Azkar,A,Jl. Karang Tengah Raya 30 A,Lebak Bulus,Cilandak
20105807,SDI Al Barkah,A,Jl. Karang Tengah Raya No. 10,Lebak Bulus,Cilandak
20105808,SDI Al Hasaniah,A,Jl. Marga Satwa,Pondok Labu,Cilandak
20103049,SDI Al Jabr Islamic School,A,Jl. Bango II No. 34,Pondok Labu,Cilandak
20106235,SDI AL MASNUNIYAH,A,Jl. Waru No. 39,Kebagusan,Pasar Minggu
20108863,SDI Al Mushanifiyah,A,JL. MARZUKI I KAMPUNG JEMBATAN No 15,Penggilingan,Cakung
69922219,SDI AL-AMINIYAH,Tidak Terakreditasi,Kp. Rawa Malang,Semper Timur,Cilincing
20105805,SDI Al-Amjad,A,Jl. Damai V/14,Cipete Utara,Kebayoran Baru
6996656,SDI AL-HADIRIYAH,Tidak Terakreditasi,,Klender,Duren Sawit
20106243,SDI Al-Hikmah,A,Jl. Kemajuan No. 48-55,Petukangan Selatan,Pesanggrahan
20104984,SDI Al-Irsyadiah,B,Jl. Tipar Cakung,Sukapura,Cilincing
20103074,SDI An Nizomiyah,A,Jl.Masjid Al-Fajri NO.16A,Pejaten Barat,Pasar Minggu
20103084,SDI Annajah,A,Jl. Ciledug Raya No. 10,Petukangan Selatan,Pesanggrahan
69775729,SDI Ar Rofi'iyyah,B,Jl. H. Sulaiman No. 40,Cipinang Melayu,Makasar
69880787,SDI As Salam,A,"Jl. Masjid As Salam, Komp. DKI Joglo",Joglo,Kembangan
20104991,SDI Baburridho,B,Jl. Baru No.52,Kalibaru,Cilincing
20105809,SDI Darul Ma'arif,B,Jl. R.S. Fatmawati No. 45,Cipete Selatan,Cilandak
20103071,SDI DARUL MUTTAQIEN,A,Jl. H. Gaim Rt. 10/02 No.126,Petukangan Utara,Pesanggrahan
20103085,SDI Darunnajah Ulujami,A,Jl. Ulujami Raya No. 86,Ulujami,Pesanggrahan
20106271,SDI Dwi Matra,A,Jl. MPR III No. 30 A,Cilandak Barat,Cilandak
20105810,SDI Islam Al Ikhlas,A,Jl. Cipete III No. 3,Cipete Selatan,Cilandak
69753973,SDI ISLAM AL KINDY,Tidak Terakreditasi,JL. HH NO. 63 - KEBON JERUK,Kebon Jeruk,Kebon Jeruk
20106295,SDI Manaratul Islam,A,Jl. Madrasah No. 12,Gandaria Selatan,Cilandak
20105058,SDI Manba'ul Hikmah,A,Jl. Tipar cakung No. 2,Sukapura,Cilincing
20106299,SDI Muawanah,B,Jl. H. Musa No. 72,Petukangan Selatan,Pesanggrahan
20109103,SDI Nahdlatul Wathan,B,KP. PISANGAN,Penggilingan,Cakung
20103050,SDI Plus Al-Islam,A,Jl. Aselih,Cipedak,Jagakarsa
20106278,SDI Plus Darul Musthofa,A,Jl. Sabar I No. 26,Petukangan Selatan,Pesanggrahan
20110224,SDI Robiatul Adawiyah,B,Jl. Sungai Tiram No. 39,Marunda,Cilincing
20112512,SDI Sehati,Tidak Terakreditasi,Jl Kapuk Rawa Gabus Rt009/011 Kel Kapuk,Kapuk,Cengkareng
20105138,SDI Terpadu A BA TA,A,Jl. Srengseng Raya No. 45,Srengseng,Kembangan
20106330,SDI YPI Bintaro,A,Jl. Rempoa Raya No. 1,Bintaro,Pesanggrahan
69966308,SDIT AL AMANAH,Tidak Terakreditasi,Jl. H Ten,Rawamangun,Pulo Gadung
69830128,SDIT Al Barkah Komadar,Tidak Terakreditasi,Jl. Teguh Karya No. 3 Komplek TNI AL Komadar,Kelapa Gading Barat,Kelapa Gading
20103045,SDIT Al Biruni,A,Jl. Raya Lenteng Agung No. 43,Lenteng Agung,Jagakarsa
69940639,SDIT Al Falah,Tidak Terakreditasi,Jl. Komplek Pemda DKI Blok M,Pondok Kelapa,Duren Sawit
20109204,SDIT Al Halimiyah,A,Jl. Robusta Raya No. 31,Pondok Kopi,Duren Sawit
20112477,SDIT AL KARIMAH,Tidak Terakreditasi,Jln. Kelurahan V,Duren Sawit,Duren Sawit
NP258798,SDIT AL KAWAAKIB,Tidak Terakreditasi,Jl. Palapa VI No. 14,Kedoya Selatan,Kebon Jeruk
20104326,SDIT Al Khairaat,A,Jl. Mesjid Condet,Batu Ampar,Kramat Jati
20109237,SDIT Al Mubarak,A,Jl. Pramuka Sari III/28,Rawasari,Cempaka Putih
20109079,SDIT Al Muhajirin,A,Jl. Raya Pondok Kopi Blok E,Pondok Kopi,Duren Sawit
20109525,SDIT Al Muhajirin,A,Jl. Badak Laut No. 20-21,Rawa Badak Selatan,K o j a
20104978,SDIT Al Mu'min,A,Jl. Bangun Cipta Raya No. 16 A,Pegangsaan Dua,Kelapa Gading
20105811,SDIT Al-Hikmah,A,Jl. Al-Barkah I No. 56 A,Cilandak Barat,Cilandak
20109283,SDIT Al-Iman,A,Jl. Cipinang Elok II,Cipinang Muara,Jatinegara
69756118,SDIT Almaka,A,Jl. Peta Selatan No. 2,Kalideres,Kalideres
20105812,SDIT Al-Mughni,A,Jl. Gatot Subroto Kav.26,Kuningan Timur,Setia Budi
NP743868,SDIT Al-Muttaqin,Tidak Terakreditasi,Jl. Daan Mogot Km 11,Kedaung Kaliangke,Cengkareng
20112518,SDIT Al-Uswah,Tidak Terakreditasi,Jl. Raya Srengseng Sawah No. 21,Srengseng Sawah,Jagakarsa
NP977368,SDIT AN NURIYAH,Tidak Terakreditasi,Jl. Bangka IX/B Gg. E,Pela Mampang,Mampang Prapatan
20121015,SDIT Ar Rahman,A,JL.PALEM I NO 45A,Petukangan Utara,Pesanggrahan
20177884,SDIT Arrahmah Jakarta,Tidak Terakreditasi,Jln Duren Sawit Barat II No.2 Blok F Komplek PTB,Klender,Duren Sawit
69772515,SDIT Ar-Risaalah,Tidak Terakreditasi,Jl. Gaga Gg. Mangga II,Semanan,Kalideres
20112484,SDIT Assa'adah,B,Jl. H. Said No 29,Gandaria Utara,Kebayoran Baru
69900652,SDIT As-Sa'adah Condet,A,Jl. Raya Condet No.63,Cililitan,Kramat Jati
20177814,SDIT Assalaamah,A,Jl. Rawa Kuning No. 29,Pulo Gebang,Cakung
69938511,SDIT ASY SYAFII,Tidak Terakreditasi,Jl. Puskesmas Gang H. Imih,Kalisari,Pasar Rebo
69942194,SDIT Baiturrahman Citra,A,Perum Citra I Blok C17,Kalideres,Kalideres
