Date,Cumulative_cases,Recovered_cases,Total_death,Patient_under_treatment,New_case_perDay,Recovered-cases_perDay,Death_cases_perDay,Treatment_cases_perDay
6/5/2020,29521,9443,1770,18308,703,551,49,103
6/6/2020,30514,9907,1801,18806,993,464,31,498
6/7/2020,31186,10498,1851,18837,672,591,50,31
6/8/2020,32033,10904,1883,19246,847,406,32,409
6/9/2020,33076,11414,1923,19739,1043,510,40,493
6/10/2020,34316,12129,1959,20228,1240,715,36,489
6/11/2020,35295,12636,2000,20659,979,507,41,431
6/12/2020,36406,13213,2048,21145,1111,577,48,486
6/13/2020,37420,13776,2091,21553,1014,563,43,408
6/14/2020,38277,14531,2134,21612,857,755,43,59
6/15/2020,39294,15123,2198,21973,1017,592,64,361
6/16/2020,40400,15703,2231,22466,1106,580,33,493
6/17/2020,41431,16243,2276,22912,1031,540,45,446
6/18/2020,42762,16798,2339,23625,1331,555,63,713
6/19/2020,43803,17349,2373,24081,1041,551,34,456
6/20/2020,45029,17883,2429,24717,1226,534,56,636
6/21/2020,45891,18404,2465,25022,862,521,36,305
6/22/2020,46845,18735,2500,25610,954,331,35,588
6/23/2020,47896,19241,2535,26120,1051,506,35,510
6/24/2020,49009,19658,2573,26778,1113,417,38,658
6/25/2020,50187,20449,2620,27118,1178,791,47,340
6/26/2020,51427,21333,2683,27411,1240,884,63,293
6/27/2020,52812,21909,2720,28183,1385,576,37,772
6/28/2020,54010,22936,2754,28320,1198,1027,34,137
6/29/2020,55092,23800,2805,28487,1082,864,51,167
6/30/2020,56385,24806,2876,28703,1293,1006,71,216
7/1/2020,57770,25595,2934,29241,1385,789,58,538
7/2/2020,59394,26667,2987,29740,1624,1072,53,499
7/3/2020,60695,27568,3036,30091,1301,901,49,351
7/4/2020,62142,28219,3089,30834,1447,651,53,743
7/5/2020,63749,29105,3171,31473,1607,886,82,639
7/6/2020,64958,29919,3241,31798,1209,814,70,325
7/7/2020,66226,30785,3309,32132,1268,866,68,334
7/8/2020,68079,31585,3359,33135,1853,800,50,1003
7/9/2020,70736,32651,3417,34668,2657,1066,58,1533
7/10/2020,72347,33529,3469,35349,1611,878,52,681
7/11/2020,74018,34719,3535,35764,1671,1190,66,415
7/12/2020,75699,35638,3606,36455,1681,919,71,691
7/13/2020,76981,36689,3656,36636,1282,1051,50,181
7/14/2020,78572,37636,3710,37226,1591,947,54,590
7/15/2020,80094,39050,3797,37247,1522,1414,87,21
7/16/2020,81668,40345,3873,37450,1574,1295,76,203
7/17/2020,83130,41834,3957,37339,1462,1489,84,-111
7/18/2020,84882,43268,4016,37598,1752,1434,59,259
7/19/2020,86521,45401,4143,36977,1639,2133,127,-621
7/20/2020,88214,46977,4239,36998,1693,1576,96,21
7/21/2020,89869,48466,4320,37083,1655,1489,81,85
7/22/2020,91751,50255,4459,37031,1882,1789,139,-52
7/23/2020,93657,52164,4576,36917,1906,1909,117,-120
7/24/2020,95418,53945,4665,36808,1761,1781,89,-109
7/25/2020,97286,55354,4714,37218,1868,1409,49,410
7/26/2020,98778,56655,4781,37342,1492,1301,67,124
7/27/2020,100303,58173,4838,37292,1525,1518,57,-50
7/28/2020,102051,60539,4901,36611,1748,2366,63,-681
7/29/2020,104432,62138,4975,37319,2381,1599,74,708
7/30/2020,106336,64292,5058,36986,1904,2154,83,-333
7/31/2020,108376,65907,5131,37338,2040,1615,73,352
8/1/2020,109936,67919,5193,36824,1560,2012,62,-514
8/2/2020,111455,68975,5236,37244,1519,1056,43,420
8/3/2020,113134,70237,5302,37595,1679,1262,66,351
8/4/2020,115056,72050,5388,37618,1922,1813,86,23
8/5/2020,116871,73889,5452,37530,1815,1839,64,-88
8/6/2020,118753,75645,5521,37587,1882,1756,69,57
8/7/2020,121226,77557,5593,38076,2473,1912,72,489
8/8/2020,123503,79306,5658,38539,2277,1749,65,463
8/9/2020,125396,80952,5723,38721,1893,1646,65,182
8/10/2020,127083,82236,5765,39082,1687,1284,42,361
8/11/2020,128776,83710,5824,39242,1693,1474,59,160
8/12/2020,130718,85798,5903,39017,1942,2088,79,-225
8/13/2020,132816,87558,5968,39290,2098,1760,65,273
8/14/2020,135123,89618,6021,39484,2307,2060,53,194
8/15/2020,137468,91321,6071,40076,2345,1703,50,592
8/16/2020,139549,93103,6150,40296,2081,1782,79,220
8/17/2020,141370,94458,6207,40705,1821,1355,57,409
8/18/2020,143043,96306,6277,40460,1673,1848,70,-245
8/19/2020,144945,98657,6346,39942,1902,2351,69,-518
8/20/2020,147211,100674,6418,40119,2266,2017,72,177
8/21/2020,149408,102991,6500,39917,2197,2317,82,-202
8/22/2020,151498,105198,6594,39706,2090,2207,94,-211
8/23/2020,153535,107500,6680,39355,2037,2302,86,-351
8/24/2020,155412,111060,6759,37593,1877,3560,79,-1762
8/25/2020,157859,112867,6858,38134,2447,1807,99,541
8/26/2020,160165,115409,6944,37812,2306,2542,86,-322
8/27/2020,162884,118575,7064,37245,2719,3166,120,-567
8/28/2020,165887,120900,7169,37818,3003,2325,105,573
8/29/2020,169195,122802,7261,39132,3308,1902,92,1314
8/30/2020,172053,124185,7343,40525,2858,1383,82,1393
8/31/2020,174796,125959,7417,41420,2743,1774,74,895
9/1/2020,177571,128057,7505,42009,2775,2098,88,589
9/2/2020,180646,129971,7616,43059,3075,1914,111,1050
9/3/2020,184268,132055,7750,44463,3622,2084,134,1404
9/4/2020,187537,134181,7832,45524,3269,2126,82,1061
9/5/2020,190665,136401,7940,46324,3128,2220,108,800
9/6/2020,194109,138575,8025,47509,3444,2174,85,1185
9/7/2020,196989,140652,8130,48207,2880,2077,105,698
9/8/2020,200035,142958,8230,48847,3046,2306,100,640
9/9/2020,203342,145200,8336,49806,3307,2242,106,959
9/10/2020,207203,147510,8456,51237,3861,2310,120,1431
9/11/2020,210940,150217,8544,52179,3737,2707,88,942
9/12/2020,214746,152458,8650,53638,3806,2241,106,1459
9/13/2020,218382,155010,8723,54649,3636,2552,73,1011
9/14/2020,221523,158405,8841,54277,3141,3395,118,-372
9/15/2020,225030,161065,8965,55000,3507,2660,124,723
9/16/2020,228993,164101,9100,55792,3963,3036,135,792
9/17/2020,232628,166686,9222,56720,3635,2585,122,928
9/18/2020,236519,170774,9336,56409,3891,4088,114,-311
9/19/2020,240687,174350,9448,56889,4168,3576,112,480
9/20/2020,244676,177327,9553,57796,3989,2977,105,907
9/21/2020,248852,180797,9677,58378,4176,3470,124,582
9/22/2020,252923,184298,9837,58788,4071,3501,160,410
9/23/2020,257388,187958,9977,59453,4465,3660,140,665
9/24/2020,262022,191853,10105,60064,4634,3895,128,611
9/25/2020,266845,196196,10218,60431,4823,4343,113,367
9/26/2020,271339,199403,10308,61628,4494,3207,90,1197
9/27/2020,275213,203014,10386,61813,3874,3611,78,185
9/28/2020,278722,206870,10473,61379,3509,3856,87,-434
9/29/2020,282724,210437,10601,61686,4002,3567,128,307
9/30/2020,287008,214947,10740,61321,4284,4510,139,-365
10/1/2020,291182,218487,10856,61839,4174,3540,116,518
10/2/2020,295499,221340,10972,63187,4317,2853,116,1348
10/3/2020,299506,225052,11055,63399,4007,3712,83,212
10/4/2020,303498,228453,11151,63894,3992,3401,96,495
10/5/2020,307120,232593,11253,63274,3622,4140,102,-620
10/6/2020,311176,236437,11374,63365,4056,3844,121,91
10/7/2020,315714,240291,11472,63951,4538,3854,98,586
10/8/2020,320564,244060,11580,64924,4850,3769,108,973
10/9/2020,324658,247667,11677,65314,4094,3607,97,390
10/10/2020,328952,251481,11765,65706,4294,3814,88,392
10/11/2020,333449,255027,11844,66578,4497,3546,79,872
10/12/2020,336716,258519,11935,66262,3267,3492,91,-316
10/13/2020,340622,263296,12027,65299,3906,4777,92,-963
10/14/2020,344749,267851,12156,64742,4127,4555,129,-557
10/15/2020,349160,273661,12268,63231,4411,5810,112,-1511
10/16/2020,353461,277544,12347,63570,4301,3883,79,339
10/17/2020,357762,281592,12431,63739,4301,4048,84,169
10/18/2020,361867,285324,12511,64032,4105,3732,80,293
10/19/2020,365240,289243,12617,63380,3373,3919,106,-652
10/20/2020,368842,293653,12734,62455,3602,4410,117,-925
10/21/2020,373109,297509,12857,62743,4267,3856,123,288
10/22/2020,377541,301006,12959,63576,4432,3497,102,833
10/23/2020,381910,305100,13077,63733,4369,4094,118,157
10/24/2020,385980,309219,13205,63556,4070,4119,128,-177
10/25/2020,389712,313764,13299,62649,3732,4545,94,-907
10/26/2020,392934,317672,13411,61851,3222,3908,112,-798
10/27/2020,396454,322248,13512,60694,3520,4576,101,-1157
10/28/2020,400483,325793,13612,61078,4029,3545,100,384
10/29/2020,404048,329778,13701,60569,3565,3985,89,-509
10/30/2020,406945,334295,13782,58868,2897,4517,81,-1701
10/31/2020,410088,337801,13869,58418,3143,3506,87,-450
11/1/2020,412784,341942,13943,56899,2696,4141,74,-1519
11/2/2020,415402,345566,14044,55792,2618,3624,101,-1107
11/3/2020,418375,349497,14146,54732,2973,3931,102,-1060
11/4/2020,421731,353282,14259,54190,3356,3785,113,-542
11/5/2020,425796,357142,14348,54306,4065,3860,89,116
11/6/2020,429574,360705,14442,54427,3778,3563,94,121
11/7/2020,433836,364417,14540,54879,4262,3712,98,452
11/8/2020,437716,368298,14614,54804,3880,3881,74,-75
11/9/2020,440569,372266,14689,53614,2853,3968,75,-1190
11/10/2020,444348,375741,14761,53846,3779,3475,72,232
11/11/2020,448118,378982,14836,54300,3770,3241,75,454
